,Strategy,Symbol,Date,option,Qty,ExpiryDt,Strike,EnTime,BPrice,ExTime,SPrice
87,EMA_15_CE_strategy,NIFTY,2022-05-18,CE,50,2022-05-19,16300,13:45:00,101.75,14:15:00,55.0
88,EMA_15_CE_strategy,NIFTY,2022-05-20,CE,50,2022-05-26,16100,09:45:00,190.3,15:15:00,270.1
89,EMA_15_CE_strategy,NIFTY,2022-05-24,CE,50,2022-05-26,16200,11:45:00,134.05,12:15:00,114.7
90,EMA_15_CE_strategy,NIFTY,2022-05-25,CE,50,2022-05-26,16200,11:15:00,80.6,11:30:00,64.2
91,EMA_15_CE_strategy,NIFTY,2022-05-26,CE,50,2022-05-26,16000,13:00:00,29.95,15:15:00,162.65
92,EMA_15_CE_strategy,NIFTY,2022-05-27,CE,50,2022-06-02,16300,12:30:00,167.05,15:15:00,177.15
93,EMA_15_CE_strategy,NIFTY,2022-05-30,CE,50,2022-06-02,16600,15:00:00,161.3,15:15:00,153.55
94,EMA_15_CE_strategy,NIFTY,2022-05-31,CE,50,2022-06-02,16600,10:30:00,126.95,12:45:00,134.4
95,EMA_15_CE_strategy,NIFTY,2022-05-31,CE,50,2022-06-02,16700,13:45:00,91.55,15:15:00,46.45
96,EMA_15_CE_strategy,NIFTY,2022-06-01,CE,50,2022-06-02,16600,10:30:00,98.2,11:15:00,85.6
97,EMA_15_CE_strategy,NIFTY,2022-06-02,CE,50,2022-06-02,16500,10:15:00,67.85,11:00:00,55.45
98,EMA_15_CE_strategy,NIFTY,2022-06-02,CE,50,2022-06-02,16500,11:30:00,66.9,15:15:00,128.35
99,EMA_15_CE_strategy,NIFTY,2022-06-03,CE,50,2022-06-09,16700,14:15:00,162.7,14:30:00,133.2
100,EMA_15_CE_strategy,NIFTY,2022-06-06,CE,50,2022-06-09,16600,12:15:00,116.65,15:15:00,115.5
101,EMA_15_CE_strategy,NIFTY,2022-06-07,CE,50,2022-06-09,16400,14:30:00,126.2,15:15:00,122.1
102,EMA_15_CE_strategy,NIFTY,2022-06-08,CE,50,2022-06-09,16500,10:45:00,93.95,13:15:00,37.85
103,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,10:30:00,26.15,11:30:00,14.65
104,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,12:15:00,20.6,13:15:00,8.25
105,EMA_15_CE_strategy,NIFTY,2022-06-09,CE,50,2022-06-09,16400,14:00:00,10.6,15:15:00,71.65
106,EMA_15_CE_strategy,NIFTY,2022-06-15,CE,50,2022-06-16,15800,10:15:00,85.0,10:45:00,74.15
107,EMA_15_CE_strategy,NIFTY,2022-06-15,CE,50,2022-06-16,15700,11:45:00,123.25,14:15:00,128.6
108,EMA_15_CE_strategy,NIFTY,2022-06-16,CE,50,2022-06-16,15800,09:45:00,55.3,10:30:00,25.75
109,EMA_15_CE_strategy,NIFTY,2022-06-17,CE,50,2022-06-23,15300,13:30:00,205.8,14:30:00,179.75
110,EMA_15_CE_strategy,NIFTY,2022-06-17,CE,50,2022-06-23,15300,14:45:00,217.8,15:15:00,181.05
111,EMA_15_CE_strategy,NIFTY,2022-06-20,CE,50,2022-06-23,15300,11:30:00,161.05,13:15:00,165.2
112,EMA_15_CE_strategy,NIFTY,2022-06-23,CE,50,2022-06-23,15500,09:45:00,88.05,12:00:00,53.35
113,EMA_15_CE_strategy,NIFTY,2022-06-23,CE,50,2022-06-23,15500,13:45:00,64.95,15:15:00,58.8
114,EMA_15_CE_strategy,NIFTY,2022-06-24,CE,50,2022-06-30,15700,12:45:00,149.4,13:45:00,129.9
115,EMA_15_CE_strategy,NIFTY,2022-06-24,CE,50,2022-06-30,15700,14:00:00,152.7,15:15:00,163.55
116,EMA_15_CE_strategy,NIFTY,2022-06-28,CE,50,2022-06-30,15800,11:45:00,103.3,12:30:00,99.0
117,EMA_15_CE_strategy,NIFTY,2022-06-28,CE,50,2022-06-30,15800,12:45:00,131.9,13:15:00,87.35
118,EMA_15_CE_strategy,NIFTY,2022-06-29,CE,50,2022-06-30,15800,11:30:00,76.0,12:30:00,72.55
119,EMA_15_CE_strategy,NIFTY,2022-06-29,CE,50,2022-06-30,15800,12:45:00,83.4,15:15:00,70.85
120,EMA_15_CE_strategy,NIFTY,2022-06-30,CE,50,2022-06-30,15900,09:45:00,51.0,10:30:00,25.25
121,EMA_15_CE_strategy,NIFTY,2022-06-30,CE,50,2022-06-30,15800,13:15:00,47.1,14:45:00,16.05
122,EMA_15_CE_strategy,NIFTY,2022-07-01,CE,50,2022-07-07,15600,13:00:00,187.25,14:15:00,183.75
123,EMA_15_CE_strategy,NIFTY,2022-07-01,CE,50,2022-07-07,15700,14:45:00,162.6,15:15:00,183.2
124,EMA_15_CE_strategy,NIFTY,2022-07-04,CE,50,2022-07-07,15700,11:00:00,147.4,15:15:00,209.1
125,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,15900,10:00:00,63.25,11:45:00,50.9
126,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,15900,12:15:00,60.3,14:15:00,72.5
127,EMA_15_CE_strategy,NIFTY,2022-07-06,CE,50,2022-07-07,16000,15:00:00,59.85,15:15:00,69.35
128,EMA_15_CE_strategy,NIFTY,2022-07-08,CE,50,2022-07-14,16200,15:00:00,129.0,15:15:00,147.0
129,EMA_15_CE_strategy,NIFTY,2022-07-11,CE,50,2022-07-14,16200,13:15:00,89.55,15:15:00,112.85
130,EMA_15_CE_strategy,NIFTY,2022-07-12,CE,50,2022-07-14,16100,14:15:00,109.85,15:00:00,82.9
131,EMA_15_CE_strategy,NIFTY,2022-07-13,CE,50,2022-07-14,16100,09:45:00,92.3,10:30:00,77.2
132,EMA_15_CE_strategy,NIFTY,2022-07-13,CE,50,2022-07-14,16100,11:30:00,75.5,15:15:00,28.25
