,Date,Time,Ticker,Volume,Open,High,Low,Close,EMA_15,signal,ATMSP
237,2022-05-16,11:15:00,NIFTY-I.NFO,315400,15935.4,15940.35,15891.05,15894.7,15914.128506363444,Sell,0
238,2022-05-16,13:30:00,NIFTY-I.NFO,418100,15827.5,15889.0,15827.5,15880.35,15859.275974829772,Buy,15900
239,2022-05-16,14:45:00,NIFTY-I.NFO,296700,15898.5,15907.4,15844.25,15855.65,15869.389393889283,Sell,0
240,2022-05-16,15:00:00,NIFTY-I.NFO,529750,15855.35,15865.15,15810.0,15824.55,15863.784469653123,Sell,0
241,2022-05-17,09:30:00,NIFTY-I.NFO,418950,15958.0,15970.65,15938.0,15957.15,15886.174978427038,Buy,16000
242,2022-05-17,15:00:00,NIFTY-I.NFO,719050,16244.55,16267.9,16225.0,16243.35,16165.954724462028,Sell,0
243,2022-05-18,13:30:00,NIFTY-I.NFO,858500,16225.1,16325.35,16223.3,16316.0,16260.478932845932,Buy,16300
244,2022-05-18,14:00:00,NIFTY-I.NFO,542600,16301.7,16304.4,16212.35,16230.0,16261.210432960166,Sell,0
245,2022-05-18,15:00:00,NIFTY-I.NFO,431450,16226.2,16240.3,16198.55,16220.25,16248.39112537533,Sell,0
246,2022-05-20,09:30:00,NIFTY-I.NFO,820050,16101.25,16129.2,16100.2,16105.0,15877.18522943541,Buy,16100
247,2022-05-20,15:00:00,NIFTY-I.NFO,1011450,16240.7,16265.0,16237.7,16260.0,16180.188268947742,Sell,0
248,2022-05-23,15:00:00,NIFTY-I.NFO,827550,16229.8,16242.5,16169.25,16183.15,16271.034302849755,Sell,0
249,2022-05-24,11:30:00,NIFTY-I.NFO,510700,16128.2,16192.75,16119.85,16191.0,16165.223080488833,Buy,16200
250,2022-05-24,12:00:00,NIFTY-I.NFO,369400,16192.65,16194.0,16127.15,16160.5,16167.736420999263,Sell,0
251,2022-05-24,13:00:00,NIFTY-I.NFO,1168650,16191.25,16232.5,16100.45,16112.05,16165.05823896954,Sell,0
252,2022-05-24,15:00:00,NIFTY-I.NFO,400300,16103.05,16116.0,16082.2,16087.65,16121.812759999622,Sell,0
253,2022-05-25,09:30:00,NIFTY-I.NFO,534200,16200.45,16209.65,16161.6,16168.0,16136.247030458764,Buy,16200
254,2022-05-25,10:30:00,NIFTY-I.NFO,245300,16125.0,16152.95,16119.6,16137.0,16135.144951203976,Buy,16100
255,2022-05-25,11:00:00,NIFTY-I.NFO,206200,16129.55,16159.95,16123.75,16155.45,16137.071134515543,Buy,16200
256,2022-05-25,11:15:00,NIFTY-I.NFO,358800,16157.6,16163.1,16111.65,16119.0,16134.8122427011,Sell,0
257,2022-05-25,15:00:00,NIFTY-I.NFO,455050,16013.0,16024.0,15986.0,16009.0,16045.13358203652,Sell,0
258,2022-05-26,12:45:00,NIFTY-I.NFO,442700,15949.8,15979.95,15939.15,15972.45,15952.97253177003,Buy,16000
259,2022-05-26,15:00:00,NIFTY-I.NFO,426750,16171.45,16175.0,16133.6,16159.75,16078.17055407459,Sell,0
260,2022-05-27,12:15:00,NIFTY-I.NFO,453250,16219.4,16280.95,16212.0,16274.5,16228.50438757813,Buy,16300
261,2022-05-27,15:00:00,NIFTY-I.NFO,567950,16310.5,16337.65,16295.9,16319.9,16291.870471114726,Sell,0
262,2022-05-30,14:45:00,NIFTY-I.NFO,383650,16613.0,16661.75,16612.3,16650.0,16619.491586035576,Buy,16600
263,2022-05-30,15:00:00,NIFTY-I.NFO,478100,16648.05,16655.3,16630.6,16638.0,16621.805137781128,Sell,0
264,2022-05-31,10:15:00,NIFTY-I.NFO,324700,16596.3,16617.4,16582.05,16615.0,16606.426750056115,Buy,16600
265,2022-05-31,12:30:00,NIFTY-I.NFO,262650,16650.0,16656.45,16614.4,16627.05,16632.006221880405,Sell,0
266,2022-05-31,13:30:00,NIFTY-I.NFO,367650,16615.45,16665.25,16613.75,16650.8,16629.31590301144,Buy,16700
267,2022-05-31,15:00:00,NIFTY-I.NFO,1513450,16636.45,16637.4,16544.7,16550.0,16631.930002873967,Sell,0
268,2022-06-01,10:15:00,NIFTY-I.NFO,393300,16573.7,16609.45,16567.15,16599.2,16598.301648691577,Buy,16600
269,2022-06-01,11:00:00,NIFTY-I.NFO,272200,16600.0,16603.95,16565.0,16573.25,16595.772100588303,Sell,0
270,2022-06-01,15:00:00,NIFTY-I.NFO,759550,16448.0,16515.0,16448.0,16513.45,16502.949676344266,Sell,0
271,2022-06-02,10:00:00,NIFTY-I.NFO,328300,16503.2,16524.0,16487.8,16515.65,16504.720740784553,Buy,16500
